Borderpoint,country,value,lon,lat
Baumgarten,Austria,251646,47.7380714,16.5013029
Kiefersfelden,Austria,1656,47.6167,12.1833
Laa,Austria,140,48.7188061,16.3874982
Oberkappel,Austria,44934,48.5527707,13.7716319
Tarvisio,Austria,191,46.5044339,13.5799589
Uberackern II,Austria,4090,48.2928972,12.8747486
Alveringem,Belgium,5,51.0167,2.7167
Eynatten (EON/RWE),Belgium,10706,50.7,6.0667
Eynatten (Sum),Belgium,12619,50.7,6.0667
Eynatten (Wingas),Belgium,1915,50.7,6.0667
Hilvarenbeek,Belgium,66370,51.4833,5.1384062
Interconnector,Belgium,40158,37.2295179,-122.1138941
Obbicht,Belgium,768,51.0280231,5.7812383
s Gravenvoeren,Belgium,35796,50.75744,5.76031
Zandvliet (H),Belgium,6540,51.23807,5.12614
Zandvliet (L),Belgium,1084,51.23807,5.12614
Zeebrugge (LNG),Belgium,21741,51.3189468,3.2068507
Zeebrugge (ZPT),Belgium,88207,51.3189468,3.2068507
Zelzate (GTS),Belgium,8187,51.1987114,3.8119772
Negru Voda,Bulgaria,108817,43.8155851,28.2176216
Dravaszerdahely,Croatia,681,45.5,18.1
Rogatec,Croatia,6507,46.2258891,15.7000313
Brandov,Czech Republic,85160,50.62972222,13.41666667
Hora svate Kateriny,Czech Republic,9323,50.6063162,13.4367336
Lanzhot,Czech Republic,112739,48.72416667,16.9669527
Olbernhau,Czech Republic,39219,50.6588625,13.34
Waidhaus,Czech Republic,11062,49.6417301,12.4962639
Ellund,Denmark,1461,54.76666667,9.316666667
Nybro,Denmark,1833,55.816227,8.198238
Karksi,Estonia,2491,58.116204,25.5856479
Narva,Estonia,203,59.3796798,28.1791333
Varska,Estonia,1643,57.9578958,27.6330119
Imatra,Finland,25830,61.1704554,28.7720669
Biriatou,France,139,43.33333,1.74306
Blaregnies (H),France,24331,50.3578,3.8916
Dunkerque,France,104101,51.0383,2.3775
Fos sur Mer,France,45153,43.437882,4.945711
Montoir de Bretagne,France,22862,47.327052,-2.150431
Not Elsewhere Specified,France,1570,45.227573,13.590077
Obergailbach,France,53207,49.117825,7.218626
Quevy (H),France,50784,50.3632054,3.949875
Tasnieres (L),France,34395,50.3197,3.8367
Bocholtz,Germany,82339,50.8166163,5.9658
Brandov,Germany,1614,50.62972222,13.41666667
Dornum,Germany,131390,53.65,7.4167
Ellund,Germany,5863,54.76666667,9.316666667
Emden (EPT1),Germany,51822,53.3669,7.2061
Emden (NPT),Germany,14320,53.3669,7.2061
Eynatten (EON/RWE),Germany,6769,50.7,6.0667
Eynatten (Sum),Germany,17095,50.7,6.0667
Eynatten (Wingas),Germany,10328,50.7,6.0667
Haanrade (RWE),Germany,141,50.8815011,6.0758651
Hora svate Kateriny,Germany,21264,50.6063162,13.4367336
Kamminke,Germany,125,53.8701854,14.2064738
Mallnow (Frankfurt am Oder),Germany,175536,52.4615586,14.4924285
Nord Stream,Germany,100198,54.132926,13.427395
Oberkappel,Germany,1048,48.5527707,13.7716319
Olbernhau,Germany,3872,50.6588625,13.34
Oude (H-Gas),Germany,45920,53.2019,7.205
Oude (L-Gas),Germany,31737,53.3019,7.205
Tegelen (OGE),Germany,98,51.3437209,6.1373536
Uberackern,Germany,5622,48.1928972,12.8747486
Uberackern II,Germany,16197,48.2928972,12.8747486
Vlieghuis (RWE),Germany,937,52.6605318,6.8384544
Waidhaus,Germany,144577,49.6417301,12.4962639
Winterswijk,Germany,41061,51.9713139,6.720509
Zevenaar,Germany,56918,51.9294445,6.076959
Kipi,Greece,4274,40.9536001,26.3069723
Kula,Greece,14502,41.339948,22.951858
Revithoussa,Greece,6211,37.9615821,23.4010331
Beregdaroc,Hungary,43390,48.2,22.533333
Csanadpalota,Hungary,43,46.25,20.73
Mosonmagyarovar,Hungary,26080,47.8681469,17.2689169
Velke Zlievce,Hungary,21,48.2005363,19.4540335
Moffat,Ireland,31200,53.3498053,-6.2603097
Adriatic LNG,Italy,36563,45.057529,12.247078
Gela,Italy,43920,37.0741526,14.2403537
Gorizia,Italy,523,45.9401812,13.6201754
Griespass,Italy,64147,46.45,8.3666667
Livorno,Italy,320,43.548473,10.3105674
Mazara del Vallo,Italy,119921,37.6550933,12.5833
Not Elsewhere Specified,Italy,2785,45.227573,13.590077
Panigaglia,Italy,6362,44.0792928,9.825746
Tarvisio,Italy,172000,46.5044339,13.5799589
Kiem_nai,Latvia,255,56.2502439,24.2909849
Korneti,Latvia,14602,57.5928519,26.92
Snohvit,Liquefied Natural Gas,32785,60.2066763,11.9740511
Kiem_nai,Lithuania,106,56.2502439,24.2909849
Klaipeda,Lithuania,412,55.7032948,21.1442794
Kotlovka,Lithuania,31250,54.717094,25.745242
Privalka,Lithuania,90,53.9442408,23.9184479
Bras,Luxembourg,2949,50.316667,5.733533
Petange,Luxembourg,797,49.55833,5.8805
Remich,Luxembourg,3842,49.5444392,6.3680482
Jidilovo,Macedonia Former Yugoslav Republic,861,42.2242526,22.398599
Ungheni,Moldova,1,47.307319,27.8792064
BBL,Netherlands,3017,52.4586,4.6194
Emden (EPT1),Netherlands,69884,53.3669,7.2061
Emden (NPT),Netherlands,29014,53.3669,7.2061
Gate,Netherlands,3265,51.9244201,4.4777325
Northern Offshore Gas Transport (NOGAT),Netherlands,5545,53.411552,6.521099
Oude (H-Gas),Netherlands,60255,53.2019,7.205
Oude (L-Gas),Netherlands,7251,53.3019,7.205
s Gravenvoeren,Netherlands,9219,50.75744,5.76031
WestGasTransport (WGT) Pipeline,Netherlands,10151,0,0
Winterswijk,Netherlands,3401,51.9713139,6.720509
Zelzate (GTS),Netherlands,7636,51.1987114,3.8119772
Zelzate (Zebra),Netherlands,10725,51.2,3.8167
Zevenaar,Netherlands,8558,51.9294445,6.076959
Emden (EPT1),Norway,5522,53.3669,7.2061
Emden (NPT),Norway,321,53.3669,7.2061
Interfield transfer from Blane to Ula,Norway,43,56.320344,3.273144
Drozdowicze,Poland,24236,49.7,22.8833
Finkenherd (EWE),Poland,152,52.2577475,14.4892324
Gubin,Poland,27,51.9489824,14.7284576
Kondratki,Poland,201779,53.03333333,23.910169
Lasow,Poland,7078,51.2445632,15.097319
Mallnow (Frankfurt am Oder),Poland,14,52.4615586,14.4924285
Moravia,Poland,1846,49.1950982,16.6067304
Tietierowka,Poland,534,53.097903,23.881704
Wysokoje,Poland,19778,52.367978,23.3759718
Badajoz,Portugal,16284,38.8789,-7.0084523
Sines,Portugal,13610,37.9571555,-8.8608907
Tuy,Portugal,173,42.11,-8.843
Csanadpalota,Romania,1239,46.25,20.73
Isaccea,Romania,118186,45.2697,28.4597
Mediesu Aurit,Romania,1824,47.786743,23.15
Korneti,Russia,3392,57.5928519,26.92
Sakiai,Russia,12342,54.952671,23.04802
Kiskundorozsma,Serbia,13352,46.2730809,20.063011
Lanzhot,Slovak.Republic,27097,48.72416667,16.9669527
Velke Kapusany,Slovak.Republic,347888,48.5538608,22.0749232
Velke Zlievce,Slovak.Republic,19,48.2005363,19.4540335
Gorizia,Slovenia,1227,45.9401812,13.6201754
Murfeld,Slovenia,11657,46.7163493,15.6750397
Almeria,Spain,23796,36.8392791,-2.4699896
Badajoz,Spain,233,38.8789,-7.0084523
Barcelona,Spain,31569,41.3375,2.1522
Bilbao,Spain,20504,43.327182,-3.015602
Biriatou,Spain,34,43.33333,1.74306
Cartagena,Spain,16534,37.58944444,-0.9875
Huelva,Spain,24518,37.261421,-6.9447224
Larrau,Spain,17399,43.0107711,-0.9640472
Murgardos,Spain,9537,43.4599466,-8.2558155
Sagunto,Spain,19895,39.6798633,-0.2784385
Tarifa,Spain,59161,36.0143209,-5.6044497
Tuy,Spain,4,42.11,-8.843
Dragor,Sweden,7681,55.5945,12.6664
Bizzarone Como,Switzerland,616,45.833,8.95
Not Elsewhere Specified,Switzerland,4461,45.227573,13.590077
Oltingue,Switzerland,18889,47.4922,7.3925
Ruggel,Switzerland,451,47.2476193,9.5253426
Wallbach,Switzerland,62753,47.5591058,7.9042193
Fernana,Tunisia,134536,36.65555556,8.696111111
Dogubajazit,Turkey,52227,39.547074,44.068778
Izmir,Turkey,12221,38.423734,27.142826
Malkoclar,Turkey,76160,42.041755,27.017125
Marmara Ereglisi,Turkey,34167,41.041446,27.9014654
Samsun,Turkey,85557,41.2797031,36.3360667
Turkgozu,Turkey,27422,41.587425,42.8202939
Beregdaroc,Ukraine,2132,48.2,22.533333
Budince,Ukraine,11987,48.533333,22.15
Hermanowice,Ukraine,1948,49.7230552,22.8148987
BBL,United Kingdom,48401,52.4586,4.6194
Dragon LNG,United Kingdom,6308,51.7142,5.0427
Easington,United Kingdom,111341,54.7809887,-1.3525286
Interconnector,United Kingdom,7378,37.2295179,-122.1138941
Isle of Grain,United Kingdom,23759,51.4602627,0.73
South Hook,United Kingdom,65725,51.714306,-5.042697
St Fergus (Statfjord),United Kingdom,33548,57.557307,-1.838958
St Fergus (Vesterled),United Kingdom,28385,57.657307,-1.838958
Teesside,United Kingdom,71,54.5728978,-1.23394